Date,Open,High,Low,Close,Volume,Adj Close
2001/12/31,22.51,22.66,21.830001,21.900001,34445600,1.456529
2001/12/28,21.970001,23.000001,21.96,22.429999,74781000,1.491778
2001/12/27,21.58,22.25,21.58,22.069999,47877200,1.467835
2001/12/26,21.35,22.3,21.14,21.49,36600200,1.429261
2001/12/24,20.899999,21.45,20.899999,21.36,12657400,1.420615
2001/12/21,21.01,21.540001,20.8,21,64083600,1.396672
2001/12/20,21.400001,21.470001,20.62,20.670001,55216000,1.374724
2001/12/19,20.58,21.680001,20.47,21.619999,72489200,1.437907
2001/12/18,20.890001,21.329999,20.220001,21.01,58809800,1.397337
2001/12/17,20.4,21,20.19,20.62,43428000,1.371399
2001/12/14,20.73,20.829999,20.089999,20.389999,47471200,1.356102
2001/12/13,21.49,21.549999,20.5,21,49460600,1.396672
2001/12/12,21.87,21.919999,21.250001,21.49,48115200,1.429261
2001/12/11,22.67,22.850001,21.65,21.779999,51368800,1.448548
2001/12/10,22.289999,22.99,22.23,22.54,42502600,1.499094
2001/12/7,22.46,22.710001,22,22.54,50878800,1.499094
2001/12/6,23.48,23.5,22.139999,22.780001,84733600,1.515056
2001/12/5,22.359999,24.029999,22.17,23.76,142144800,1.580234
2001/12/4,21.049999,22.560001,20.72,22.4,95104800,1.489783
2001/12/3,21.06,21.28,20.599999,21.049999,45291400,1.399997
2001/11/30,20.47,21.44,20.25,21.3,75978000,1.416624
2001/11/29,20.599999,20.7,20.19,20.42,50691200,1.358097
2001/11/28,20.85,21.21,20.41,20.529999,62652800,1.365413
2001/11/27,21.2,21.52,20.5,21,67138400,1.396672
2001/11/26,19.940001,21.549999,19.879999,21.37,115172400,1.42128
2001/11/23,19.710001,19.949999,19.570001,19.84,15001000,1.319522
2001/11/21,19.61,19.799999,19.26,19.68,50395800,1.308881
2001/11/20,19.82,20.2,19.500001,19.53,69146000,1.298905
2001/11/19,18.999999,20.05,18.96,20,83147400,1.330164
2001/11/16,19.27,19.289999,18.400001,18.97,57666000,1.26166
2001/11/15,19.45,19.9,19.23,19.45,53257400,1.293584
2001/11/14,19.589999,19.9,19.149999,19.61,55287400,1.304225
2001/11/13,19.079999,19.39,18.709999,19.369999,56168000,1.288263
2001/11/12,18.66,19.17,17.960001,18.75,50374800,1.247028
2001/11/9,18.6,19.25,18.550001,18.709999,33573400,1.244368
2001/11/8,19.63,19.89,18.569999,18.709999,85535800,1.244368
2001/11/7,19.46,20.13,19.33,19.589999,95747400,1.302895
2001/11/6,18.96,19.62,18.53,19.570001,79004800,1.301565
2001/11/5,18.840001,19.25,18.61,19.069999,58948400,1.268311
2001/11/2,18.52,18.859999,18.16,18.569999,49301000,1.235057
2001/11/1,17.65,18.779999,17.249999,18.59,78248800,1.236387
2001/10/31,17.73,18.400001,17.44,17.56,68437600,1.167884
2001/10/30,17.380001,18,17.06,17.600001,69190800,1.170544
2001/10/29,18.569999,18.67,17.600001,17.63,59795400,1.172539
